,Loop/Segment,Segment Timing
0,L1S1,6.00
1,L1S2,2.40
2,L1S3,5.40
3,L1S4,7.20
4,L1S5,4.00
5,L1S6,12.80
6,L1S7,2.40
7,L1S8,5.00
8,L1S9,2.20
9,L1S10,23.60
10,L2S1,6.00
11,L2S2,2.40
12,L2S3,5.20
13,L2S4,7.40
14,L2S5,3.80
15,L2S6,12.80
16,L2S7,2.40
17,L2S8,5.00
18,L2S9,2.20
19,L2S10,23.80
20,L3S1,5.80
21,L3S2,2.60
22,L3S3,5.40
23,L3S4,7.20
24,L3S5,4.00
25,L3S6,12.80
26,L3S7,2.40
27,L3S8,5.00
28,L3S9,2.20
29,L3S10,23.80
30,L4S1,5.80
31,L4S2,2.60
32,L4S3,5.40
33,L4S4,7.40
34,L4S5,3.80
35,L4S6,13.00
36,L4S7,2.40
37,L4S8,5.00
38,L4S9,2.20
39,L4S10,24.00
40,L5S1,5.80
41,L5S2,2.60
42,L5S3,5.40
43,L5S4,7.40
44,L5S5,3.80
45,L5S6,12.80
46,L5S7,2.60
47,L5S8,5.00
48,L5S9,2.20
49,L5S10,24.00
50,L6S1,5.80
51,L6S2,2.60
52,L6S3,5.40
53,L6S4,7.60
54,L6S5,3.80
55,L6S6,13.00
56,L6S7,2.60
57,L6S8,5.00
58,L6S9,2.20
59,L6S10,24.20
60,L7S1,5.80
61,L7S2,2.80
62,L7S3,5.20
63,L7S4,7.60
64,L7S5,3.80
65,L7S6,13.00
66,L7S7,2.60
67,L7S8,4.80
68,L7S9,2.20
69,L7S10,24.20
70,L8S1,5.80
71,L8S2,2.60
72,L8S3,5.40
73,L8S4,7.60
74,L8S5,3.80
75,L8S6,13.20
76,L8S7,2.60
77,L8S8,5.00
78,L8S9,2.00
79,L8S10,24.40
80,L9S1,5.80
81,L9S2,2.40
82,L9S3,5.60
83,L9S4,7.40
84,L9S5,3.80
85,L9S6,13.20
86,L9S7,2.60
87,L9S8,5.20
88,L9S9,2.00
89,L9S10,24.20
