, unit--timestamp[ms],bma280_x[mg],bma280_y[mg],bma280_z[mg],bmg160_x[mDeg],bmg160_y[mDeg],bmg160_z[mDeg],bmi160_a_x[mg],bmi160_a_y[mg],bmi160_a_z[mg],bmi160_g_x[mDeg],bmi160_g_y[mDeg],bmi160_g_z[mDeg],bmm150_x[microT],bmm150_y[microT],bmm150_z[microT],bmm150_res,bme280_temp[mDeg],bme280_press[Pa],bme280_hum[rh],max44009_bright[mLux],Class
0,0,5,103,1052,-61,-305,61,-46,80,1057,427,183,122,-53,58,30,6127,33330,100850,32,44280,1
1,200,5,109,1060,-122,-549,-61,-43,81,1055,244,122,122,-54,57,28,6126,33330,100849,32,44280,1
2,400,3,109,1062,-122,-305,122,-46,79,1054,366,183,244,-52,58,28,6128,33330,100850,32,50760,1
3,600,3,105,1054,-61,-366,61,-43,78,1055,244,122,122,-53,57,29,6126,33330,100850,32,50760,1
4,800,1,113,1062,0,-366,0,-46,78,1056,305,183,244,-52,58,29,6127,33330,100850,32,51840,1
5,1000,5,103,1056,-61,-488,-244,-47,80,1057,305,61,61,-52,58,29,6128,33330,100850,32,51840,1
6,1200,5,117,1058,61,-305,122,-47,77,1054,366,183,305,-52,59,29,6128,33330,100849,32,49680,1
7,1400,5,105,1056,-61,-366,0,-44,79,1055,366,183,122,-52,59,28,6128,33330,100848,32,49680,1
8,1600,3,111,1050,0,-305,0,-43,78,1052,366,122,122,-53,58,30,6126,33330,100848,32,50040,1
9,1800,0,101,1056,-61,-427,0,-51,74,1056,427,61,244,-52,58,29,6125,33330,100848,32,50040,1
10,2000,5,103,1056,-427,-244,0,-45,80,1061,183,305,183,-52,57,29,6126,33330,100848,32,51120,1
11,2200,5,107,1066,61,-366,-122,-44,75,1053,244,183,183,-54,58,30,6125,33330,100847,32,51120,1
12,2400,1,103,1054,-61,-366,-122,-48,75,1054,305,183,61,-53,58,30,6127,33340,100849,32,53280,1
13,2600,5,105,1058,-61,-305,-61,-48,76,1056,305,122,305,-53,57,30,6126,33340,100849,32,53280,1
14,2800,3,111,1060,-61,-427,122,-45,77,1055,305,244,61,-53,58,28,6125,33340,100849,32,56520,1
15,3000,5,103,1064,-122,-427,183,-45,79,1056,366,244,244,-53,57,29,6126,33340,100849,32,56520,1
16,3200,5,107,1058,-122,-305,61,-45,78,1056,427,244,183,-53,58,29,6126,33340,100849,32,57240,1
17,3400,3,111,1054,61,-305,-61,-43,79,1055,244,183,244,-53,58,30,6127,33340,100850,32,57240,1
18,3600,3,109,1058,0,-244,0,-45,77,1056,366,122,183,-52,58,29,6127,33340,100850,32,57600,1
19,3800,5,103,1060,-61,-305,61,-46,79,1053,244,183,122,-52,58,30,6127,33340,100851,32,58320,1
20,4000,1,103,1064,-61,-488,-61,-44,79,1055,366,61,244,-54,56,29,6127,33340,100850,32,59040,1
21,4200,5,111,1056,-61,-183,-61,-43,76,1054,366,183,183,-53,58,28,6127,33340,100849,32,59040,1
22,4400,5,109,1054,-122,-427,-61,-44,77,1053,244,183,244,-53,59,29,6126,33340,100849,32,59040,1
23,4600,5,103,1066,0,-549,-122,-45,77,1056,244,183,244,-53,58,30,6128,33340,100849,32,58680,1
24,4800,5,109,1060,0,-305,-61,-48,78,1057,305,122,122,-53,58,30,6129,33340,100849,32,58680,1
25,5000,5,105,1056,0,-366,-61,-47,78,1054,366,183,122,-54,57,30,6126,33340,100849,32,58680,1
26,5200,3,113,1056,-61,-488,-122,-43,75,1056,305,122,61,-53,57,29,6126,33340,100850,32,58680,1
27,5400,3,103,1060,-244,-244,-61,-50,77,1058,244,122,61,-52,58,31,6127,33350,100850,32,58320,1
28,5600,3,101,1052,-61,-305,0,-46,77,1056,427,122,183,-52,56,30,6127,33350,100849,32,58320,1
29,5800,5,109,1060,0,-549,61,-46,76,1055,305,183,183,-54,58,28,6125,33340,100850,32,58320,1
30,6000,5,103,1058,-244,-305,-305,-43,78,1053,244,61,-122,-53,58,29,6126,33340,100850,32,58320,1
31,6200,3,97,1058,0,-244,183,-44,75,1053,366,183,305,-52,58,30,6126,33340,100849,32,58320,1
32,6400,3,105,1052,-61,-305,122,-46,74,1056,366,183,183,-54,57,30,6127,33340,100849,32,58320,1
33,6600,3,107,1058,-183,-183,-61,-47,76,1056,244,183,183,-52,58,29,6127,33350,100849,32,58320,1
34,6800,5,103,1058,61,-366,-183,-46,77,1056,488,183,122,-54,58,30,6127,33350,100849,32,58320,1
35,7000,5,105,1054,0,-305,-183,-44,78,1056,183,122,0,-52,58,29,6126,33350,100850,32,58320,1
36,7200,7,138,1052,183,-305,-183,-37,74,1050,427,122,122,-52,56,29,6125,33350,100850,32,58320,1
37,7400,5,115,1062,61,-427,-183,-43,82,1055,549,122,-61,-54,58,28,6127,33350,100849,32,58320,1
38,7600,5,111,1056,-61,-610,-122,-46,79,1058,366,122,122,-53,58,29,6125,33350,100849,32,58320,1
39,7800,3,111,1064,-122,-305,61,-51,78,1058,305,122,244,-53,57,30,6124,33350,100848,32,58320,1
40,8000,3,99,1060,-61,-427,0,-43,74,1051,366,122,244,-52,57,29,6125,33350,100848,32,58320,1
41,8200,3,99,1048,244,-244,0,-49,76,1054,366,183,122,-54,58,28,6124,33350,100848,32,58320,1
42,8400,3,105,1062,61,-305,61,-52,77,1057,366,122,183,-53,58,31,6126,33350,100848,32,58320,1
43,8600,3,101,1060,61,-305,0,-44,77,1055,366,122,183,-53,58,29,6126,33350,100848,32,58320,1
44,8800,5,109,1064,61,-305,61,-51,75,1055,427,122,122,-53,58,29,6125,33350,100848,32,58320,1
45,9000,1,107,1060,0,-366,183,-47,76,1054,366,183,244,-54,57,29,6125,33350,100849,32,58320,1
46,9200,5,109,1060,61,-122,0,-45,79,1053,305,183,0,-53,58,29,6126,33350,100847,32,58320,1
47,9400,3,107,1064,-61,-183,-122,-43,78,1055,305,183,61,-54,56,30,6127,33350,100848,32,58320,1
48,9600,5,111,1058,-61,-305,-122,-45,78,1053,366,244,244,-53,58,29,6126,33350,100847,32,58320,1
49,9800,-11,105,1085,61,-244,0,-44,78,1053,427,244,183,-53,57,29,6127,33350,100848,32,58320,1
50,10000,3,109,1060,122,-427,122,-47,78,1050,549,183,305,-53,58,29,6125,33350,100847,32,58680,1
51,10200,3,109,1060,61,-427,122,-41,79,1051,366,122,122,-53,57,28,6126,33350,100848,32,58680,1
52,10400,3,107,1058,-61,-427,0,-48,76,1055,427,183,122,-52,58,29,6127,33360,100853,32,58320,1
53,10600,5,105,1052,122,-427,0,-44,79,1054,488,61,244,-54,58,29,6126,33350,100847,32,58320,1
54,10800,-3,109,1064,0,-244,0,-54,74,1059,488,122,-61,-53,57,29,6126,33360,100852,32,57960,1
55,11000,5,109,1054,61,-122,122,-39,78,1052,366,122,244,-53,57,29,6125,33360,100852,32,57600,1
56,11200,3,111,1060,0,-671,0,-45,79,1057,366,183,122,-54,57,30,6127,33360,100852,32,57600,1
57,11400,5,105,1054,-61,-427,0,-45,78,1051,427,122,122,-53,58,30,6125,33360,100853,32,57240,1
58,11600,5,103,1054,-122,-244,-61,-45,77,1054,305,183,183,-54,58,29,6125,33360,100852,32,56520,1
59,11800,5,107,1056,-61,-305,61,-45,77,1056,366,61,183,-53,57,29,6126,33360,100852,32,56520,1
60,12000,1,113,1058,-61,-244,-61,-46,77,1055,366,183,183,-53,57,29,6125,33360,100851,32,56520,1
61,12200,3,119,1054,0,-427,-61,-46,77,1056,427,183,122,-52,57,29,6127,33360,100851,32,55800,1
62,12400,5,111,1062,-183,-305,0,-46,79,1057,366,122,183,-54,57,30,6124,33360,100852,32,54000,1
63,12600,3,107,1064,-183,-305,-122,-43,75,1054,122,244,61,-53,56,30,6126,33360,100851,32,51840,1
64,12800,5,103,1054,-61,-305,0,-44,78,1054,427,122,122,-53,56,29,6126,33360,100851,32,50400,1
65,13000,3,105,1052,122,-488,-61,-45,72,1058,427,122,122,-53,58,29,6126,33360,100851,32,49320,1
66,13200,3,105,1058,-61,-122,-61,-46,80,1055,366,122,183,-53,58,29,6126,33360,100851,32,48240,1
67,13400,5,107,1056,-61,-488,-61,-44,78,1054,305,122,122,-52,57,28,6124,33360,100850,32,45900,1
68,13600,5,105,1054,61,-305,61,-45,76,1054,305,183,122,-53,57,29,6126,33360,100852,32,45900,1
69,13800,3,103,1052,61,-488,-183,-44,77,1056,366,122,244,-52,57,29,6126,33360,100851,32,41580,1
70,14000,3,107,1060,61,-488,-122,-46,76,1055,305,61,183,-52,59,30,6126,33360,100851,32,41580,1
71,14200,1,107,1056,-61,-183,-61,-45,78,1055,305,122,122,-54,57,29,6127,33360,100851,32,41940,1
72,14400,5,105,1056,0,-366,-61,-45,77,1057,366,244,244,-52,58,29,6128,33360,100850,32,41940,1
73,14600,5,107,1056,-61,-488,0,-45,77,1055,305,183,122,-54,58,31,6125,33360,100851,32,43560,1
74,14800,5,105,1058,61,-366,0,-45,75,1054,244,122,244,-52,59,29,6126,33360,100850,32,43560,1
75,15000,3,109,1064,-61,-427,61,-45,77,1055,305,122,183,-53,59,29,6126,33360,100850,31,43560,1
76,15200,5,111,1058,0,-244,61,-45,76,1054,427,122,244,-53,58,30,6126,33360,100849,32,43560,1
77,15400,3,113,1060,-61,-305,-122,-45,74,1053,305,183,122,-53,58,29,6126,33360,100850,32,42300,1
78,15600,5,105,1054,0,-366,-61,-46,76,1055,305,122,183,-53,58,30,6122,33360,100849,32,42300,1
79,15800,5,105,1058,-61,-244,0,-44,75,1054,366,122,183,-54,57,30,6125,33360,100852,32,43020,1
80,16000,3,103,1064,0,-427,-122,-46,78,1057,366,61,122,-52,58,29,6126,33360,100852,32,43020,1
81,16200,3,103,1060,-122,-305,-305,-32,73,1049,244,244,0,-53,57,29,6125,33360,100851,32,44460,1
82,16400,-13,74,1058,-183,-244,61,-46,76,1060,183,183,366,-54,56,28,6124,33360,100851,32,44460,1
83,16600,5,113,1066,-61,-366,-61,-47,83,1059,305,183,183,-52,56,29,6125,33360,100851,32,44820,1
84,16800,5,105,1058,-122,-122,0,-39,76,1054,244,244,183,-52,58,29,6123,33360,100851,32,44820,1
85,17000,3,109,1060,0,-183,244,-36,80,1051,488,244,488,-53,58,29,6124,33360,100851,32,44280,1
86,17200,1,109,1056,-61,-427,-122,-50,79,1058,244,122,61,-52,57,29,6126,33360,100850,32,44280,1
87,17400,5,105,1062,0,-366,61,-42,74,1052,366,183,305,-53,57,27,6125,33360,100850,32,42300,1
